"type","value","source"
"hash_sha256","01793E6F0D5241B33F07A3F9AD34E40E056A514C5D23E14DC491CEE60076DC5A","public"
"hash_sha256","311EC9208F5FE3F22733FCA1E6388EA9C0327BE0836C955D2CF6A22317D4BDCA","public"
"hash_sha256","53FD5984C4F6551B2C1059835EA9CA6D0342D886BA7034835DB2A1DD3F8F5B04","public"
"hash_sha256","565863CF176E5D094E75E31844EB542CA07C516673ED245A424D7326BD474E0B","public"
"hash_sha256","8135F126764592BE3DF17200F49140BFB546EC1B2C34A153AA509465406CB46C","public"
"hash_sha256","9F940783A6BBEACA52308B32E7BC0060222F3705C2DB2AB00F59C6615E5E577F","public"
"hash_sha256","DBAF4A8C8431FD80CC5160DFDACA7ADB301ADC26AB7E3A48BE9543EDF539EA8D","public"
"hash_md5","2A388F3428A6D44A66F5CB0B210379A0","public"
"hash_md5","2F6FE22BE1ED2A6BA42689747C9E18A0","public"
"hash_md5","7A0C0A4C550A95809E93AB7E6BDCC290","public"
"hash_md5","EC9DCEF04C5C89D6107D23B0668CC1C1","public"
"domain","myth.cocukporno.lol","public"
"domain","panel-spectrum.net","public"
"domain","pangacnc.com","public"
"ip","209.141.34.106","public"
"url","http://136.243.132.112:881/a.ps1","public"
"url","https://applemacios.com/getrur/update","public"
"url","https://bitbucket.org/syscontrol6/syscontrol/downloads/AClient.exe","public"
"url","https://discord.com/api/webhooks/1348629600560742462/RJgSAE7cYY-1eKMkl5EI-qZMuHaujnRBMVU_8zcIaMKyQi4mCVjc9R0zhDQ7wmPoD7Xp","public"
"url","https://github.com/gkwdw/wffaw/raw/refs/heads/main/installer.exe","public"
"url","https://www.plaquist-simulator.com","public"
